School Name,District Name (School),County Name (School)
Foothill Elementary (Saratoga Union Elementary),Saratoga Union Elementary,Santa Clara
Foothill Elementary (Goleta Union Elementary),Goleta Union Elementary,Santa Barbara
Foothill Elementary (Alvord Unified),Alvord Unified,Riverside
Foothill High (Shasta Union High),Shasta Union High,Shasta
Foothill High (Kern High),Kern High,Kern
Foothill High (East Side Union High),East Side Union High,Santa Clara
Foothill High (Pleasanton Unified),Pleasanton Unified,Alameda
Foothill High (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Foothill High (Tustin Unified),Tustin Unified,Orange
Foothill High (Alternative) (Yosemite Unified),Yosemite Unified,Madera
Foothill Intermediate (Marysville Joint Unified),Marysville Joint Unified,Yuba
Foothill Knolls Elementary (Upland Unified),Upland Unified,San Bernardino
Foothill Leadership Academy (Tuolumne County Superintendent of Schools),Tuolumne County Superintendent of Schools,Tuolumne
Foothill Middle (Azusa Unified),Azusa Unified,Los Angeles
Foothill Middle (Mt. Diablo Unified),Mt. Diablo Unified,Contra Costa
Foothill Oak Elementary (Vista Unified),Vista Unified,San Diego
Foothill Oaks Elementary (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Foothill Plus (Shasta Union High),Shasta Union High,Shasta
Foothill Ranch Elementary (Saddleback Valley Unified),Saddleback Valley Unified,Orange
Foothill Ranch Middle (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Foothill Technology High (Ventura Unified),Ventura Unified,Ventura
Foothills High (San Marcos Unified),San Marcos Unified,San Diego
Foothills Middle (Arcadia Unified),Arcadia Unified,Los Angeles
Ford Boulevard Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ford Elementary (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
Forest Charter (Nevada County Office of Education),Nevada County Office of Education,Nevada
Forest Grove Elementary (Pacific Grove Unified),Pacific Grove Unified,Monterey
Forest Hill Elementary (Campbell Union),Campbell Union,Santa Clara
Forest Park Elementary (Fremont Unified),Fremont Unified,Alameda
Forest Ranch Charter (Chico Unified),Chico Unified,Butte
Foresthill Divide (Foresthill Union Elementary),Foresthill Union Elementary,Placer
Foresthill High (Placer Union High),Placer Union High,Placer
Forestville Academy (Forestville Union Elementary),Forestville Union Elementary,Sonoma
Forestville Elementary (Forestville Union Elementary),Forestville Union Elementary,Sonoma
Forkner Elementary (Fresno Unified),Fresno Unified,Fresno
Forks of Salmon Elementary (Forks of Salmon Elementary),Forks of Salmon Elementary,Siskiyou
Fort Bragg High (Fort Bragg Unified),Fort Bragg Unified,Mendocino
Fort Bragg Middle (Fort Bragg Unified),Fort Bragg Unified,Mendocino
Fort Irwin Middle (Silver Valley Unified),Silver Valley Unified,San Bernardino
Fort Jones Elementary (Scott Valley Unified),Scott Valley Unified,Siskiyou
Fort Miller Middle (Fresno Unified),Fresno Unified,Fresno
Fort Ross Elementary (Fort Ross Elementary),Fort Ross Elementary,Sonoma
Fort Sage Community Day (Fort Sage Unified),Fort Sage Unified,Lassen
Fort Sage Middle (Fort Sage Unified),Fort Sage Unified,Lassen
Fort Washington Elementary (Clovis Unified),Clovis Unified,Fresno
Fortuna Middle (Fortuna Elementary),Fortuna Elementary,Humboldt
Fortuna Union High (Fortuna Union High),Fortuna Union High,Humboldt
Fortune (Sacramento County Office of Education),Sacramento County Office of Education,Sacramento
Forty-Ninth Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Forty-Second Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Foshay Learning Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Foskett Ranch Elementary (Western Placer Unified),Western Placer Unified,Placer
Foster City Elementary (San Mateo-Foster City),San Mateo-Foster City,San Mateo
Foster Elementary (Baldwin Park Unified),Baldwin Park Unified,Los Angeles
Foster Elementary (San Diego Unified),San Diego Unified,San Diego
Foster Elementary (Compton Unified),Compton Unified,Los Angeles
Foster Road Elementary (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,Los Angeles
Foulks Ranch Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Fountain Valley High (Huntington Beach Union High),Huntington Beach Union High,Orange
Four Creeks Elementary (Visalia Unified),Visalia Unified,Tulare
Fourth Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fowler Academy Community Day (Fowler Unified),Fowler Unified,Fresno
Fowler Academy Community Day (9-12) (Fowler Unified),Fowler Unified,Fresno
Fowler Academy Continuation (Fowler Unified),Fowler Unified,Fresno
Fowler Academy Independent Study (Fowler Unified),Fowler Unified,Fresno
Fowler High (Fowler Unified),Fowler Unified,Fresno
Fox Elementary (Belmont-Redwood Shores Elementary),Belmont-Redwood Shores Elementary,San Mateo
Fox Road Elementary (Hughson Unified),Hughson Unified,Stanislaus
Foxboro Elementary (Travis Unified),Travis Unified,Solano
Frances Blend Special Education Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Frances Ellen Watkins Harper Junior High (Davis Joint Unified),Davis Joint Unified,Yolo
Francis Hopkinson Elementary (Los Alamitos Unified),Los Alamitos Unified,Orange
Francis J. White Learning Center (Woodlake Unified),Woodlake Unified,Tulare
Francisco Bravo Medical Magnet High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Francisco Middle (San Francisco Unified),San Francisco Unified,San Francisco
Francisco Sepulveda Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Francophone Charter School of Oakland (Oakland Unified),Oakland Unified,Alameda
Frank Augustus Miller Middle (Riverside Unified),Riverside Unified,Riverside
Frank del Olmo Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Frank E. Woodruff Elementary (Bellflower Unified),Bellflower Unified,Los Angeles
Frank J. Zamboni (Paramount Unified),Paramount Unified,Los Angeles
Frank Kohn Elementary (Tulare City),Tulare City,Tulare
Frank L. Huff Elementary (Mountain View Whisman),Mountain View Whisman,Santa Clara
Frank Lanterman (Los Angeles Unified),Los Angeles Unified,Los Angeles
Frank Ledesma Elementary (Soledad Unified),Soledad Unified,Monterey
Frank M. Wright Middle (Imperial Unified),Imperial Unified,Imperial
Frank Otis Elementary (Alameda Unified),Alameda Unified,Alameda
Frank Paul Elementary (Alisal Union),Alisal Union,Monterey
Frank Sparkes Elementary (Winton),Winton,Merced
Frank Vessels Elementary (Cypress Elementary),Cypress Elementary,Orange
Frank West Elementary (Bakersfield City),Bakersfield City,Kern
Frank Zeek Elementary (Ukiah Unified),Ukiah Unified,Mendocino
Franklin (Benjamin) Elementary (Anaheim City),Anaheim City,Orange
Franklin Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Franklin Classical Middle (Long Beach Unified),Long Beach Unified,Los Angeles
Franklin Delano Roosevelt Elementary (Jefferson Elementary),Jefferson Elementary,San Mateo
Franklin Elementary (Burlingame Elementary),Burlingame Elementary,San Mateo
Franklin Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,Los Angeles
Franklin Elementary (Loomis Union Elementary),Loomis Union Elementary,Placer
Franklin Elementary (Merced City Elementary),Merced City Elementary,Merced
Franklin Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Franklin Elementary (Oakland Unified),Oakland Unified,Alameda
Franklin Elementary (Modesto City Elementary),Modesto City Elementary,Stanislaus
Franklin Elementary (Franklin-McKinley Elementary),Franklin-McKinley Elementary,Santa Clara
Franklin Elementary (San Diego Unified),San Diego Unified,San Diego
Franklin Elementary (Redlands Unified),Redlands Unified,San Bernardino
Franklin Elementary (Santa Ana Unified),Santa Ana Unified,Orange
Franklin Elementary (Alameda Unified),Alameda Unified,Alameda
Franklin Elementary (Franklin Elementary),Franklin Elementary,Sutter
Franklin Elementary (Bakersfield City),Bakersfield City,Kern
Franklin Elementary (Santa Barbara Unified),Santa Barbara Unified,Santa Barbara
Franklin Elementary (Pasadena Unified),Pasadena Unified,Los Angeles
Franklin High (Stockton Unified),Stockton Unified,San Joaquin
Franklin High (Elk Grove Unified),Elk Grove Unified,Sacramento
Franklin Middle (Vallejo City Unified),Vallejo City Unified,Solano
Frazier Mountain High (El Tejon Unified),El Tejon Unified,Kern
Frazier Park Elementary (El Tejon Unified),El Tejon Unified,Kern
Fred C. Beyer High (Modesto City High),Modesto City High,Stanislaus
Fred E. Lull Special Education Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fred E. Weibel Elementary (Fremont Unified),Fremont Unified,Alameda
Fred Ekstrand Elementary (Bonita Unified),Bonita Unified,Los Angeles
Fred L. Thompson Junior High (Panama-Buena Vista Union),Panama-Buena Vista Union,Kern
Fred L. Williams Elementary (Hueneme Elementary),Hueneme Elementary,Ventura
Fred T. Korematsu Discovery Academy (Oakland Unified),Oakland Unified,Alameda
Fred T. Korematsu Elementary School at Mace Ranch (Davis Joint Unified),Davis Joint Unified,Yolo
Fred T. Korematsu Middle (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
Frederick Douglass Academy High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Frederick Douglass Academy Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Frederick Joyce Elementary (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Frederick Remington Elementary (Santa Ana Unified),Santa Ana Unified,Orange
Frederiksen Elementary (Dublin Unified),Dublin Unified,Alameda
Freedom Academy of Imperial Valley (Holtville Unified),Holtville Unified,Imperial
Freedom Crest Elementary (Menifee Union Elementary),Menifee Union Elementary,Riverside
Freedom Elementary (Sylvan Union Elementary),Sylvan Union Elementary,Stanislaus
Freedom Elementary (Farmersville Unified),Farmersville Unified,Tulare
Freedom Elementary (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Freedom Elementary (Clovis Unified),Clovis Unified,Fresno
Freedom High (Shasta Union High),Shasta Union High,Shasta
Freedom High (Liberty Union High),Liberty Union High,Contra Costa
Freedom Middle (Rosedale Union Elementary),Rosedale Union Elementary,Kern
Freeman Elementary (Woodland Joint Unified),Woodland Joint Unified,Yolo
Freese Elementary (San Diego Unified),San Diego Unified,San Diego
Fremont Academy of Engineering and Design (Pomona Unified),Pomona Unified,Los Angeles
Fremont Elementary (Montebello Unified),Montebello Unified,Los Angeles
Fremont Elementary (Bakersfield City),Bakersfield City,Kern
Fremont Elementary (Delano Union Elementary),Delano Union Elementary,Kern
Fremont Elementary (Alhambra Unified),Alhambra Unified,Los Angeles
Fremont Elementary (Fowler Unified),Fowler Unified,Fresno
Fremont Elementary (Riverside Unified),Riverside Unified,Riverside
Fremont Elementary (Fresno Unified),Fresno Unified,Fresno
Fremont Elementary (Alisal Union),Alisal Union,Monterey
Fremont Elementary (Santa Ana Unified),Santa Ana Unified,Orange
Fremont Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Fremont Elementary (Antioch Unified),Antioch Unified,Contra Costa
Fremont High (Oakland Unified),Oakland Unified,Alameda
Fremont High (Fremont Union High),Fremont Union High,Santa Clara
Fremont Primary (Calipatria Unified),Calipatria Unified,Imperial
"Fremont, Middle (Oxnard)",Oxnard,Ventura
French Camp Elementary (Manteca Unified),Manteca Unified,San Joaquin
French Gulch-Whiskeytown Elementary (French Gulch-Whiskeytown Elementary),French Gulch-Whiskeytown Elementary,Shasta
French Valley Elementary (Temecula Valley Unified),Temecula Valley Unified,Riverside
Freshwater Charter Middle (Freshwater Elementary),Freshwater Elementary,Humboldt
Freshwater Elementary (Freshwater Elementary),Freshwater Elementary,Humboldt
Fresno Academy for Civic and Entrepreneurial Leadership (Fresno Unified),Fresno Unified,Fresno
Fresno County Court (Fresno County Office of Education),Fresno County Office of Education,Fresno
Fresno County Special Education Local Plan (Fresno County Office of Education),Fresno County Office of Education,Fresno
Fresno Flats Community Day (Bass Lake Joint Union Elementary),Bass Lake Joint Union Elementary,Madera
Fresno High (Fresno Unified),Fresno Unified,Fresno
Frick Middle (Oakland Unified),Oakland Unified,Alameda
Frida Kahlo High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Friendly Hills Elementary (Morongo Unified),Morongo Unified,San Bernardino
Fries Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Frisbie Middle (Rialto Unified),Rialto Unified,San Bernardino
Frontier Elementary (Pioneer Union Elementary),Pioneer Union Elementary,Kings
Frontier Elementary (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Frontier High (Oxnard Union High),Oxnard Union High,Ventura
Frontier High (Kern High),Kern High,Kern
Frontier High (Continuation) (Whittier Union High),Whittier Union High,Los Angeles
Frost (Earl) Elementary (Oak Grove Elementary),Oak Grove Elementary,Santa Clara
Fruitvale Elementary (Hemet Unified),Hemet Unified,Riverside
Fruitvale Elementary (Oakland Unified),Oakland Unified,Alameda
Fruitvale Junior High (Fruitvale Elementary),Fruitvale Elementary,Kern
Fryberger Elementary (Westminster),Westminster,Orange
Fuente Nueva Charter (Arcata Elementary),Arcata Elementary,Humboldt
Fuerte Elementary (Cajon Valley Union),Cajon Valley Union,San Diego
Fullbright Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fullerton Union High (Fullerton Joint Union High),Fullerton Joint Union High,Orange
Fulton (Harry C.) Middle (Fountain Valley Elementary),Fountain Valley Elementary,Orange
Fulton K-8 (San Diego Unified),San Diego Unified,San Diego
Fulton Special Education (Fresno Unified),Fresno Unified,Fresno
Furgeson (Venn W.) Elementary (ABC Unified),ABC Unified,Los Angeles
Furman (Duane E.) High (Independent Study Program) (Madera Unified),Madera Unified,Madera
Fusion Charter (Turlock Unified),Turlock Unified,Stanislaus
Future Bound Independent Study Secondary (Ramona City Unified),Ramona City Unified,San Diego
Futures Elementary (Oakland Unified),Oakland Unified,Alameda
Futures High (Twin Rivers Unified),Twin Rivers Unified,Sacramento
G. M. Walters Junior High (Fremont Unified),Fremont Unified,Alameda
G. W. Hellyer Elementary (Franklin-McKinley Elementary),Franklin-McKinley Elementary,Santa Clara
Gabilan Elementary (Soledad Unified),Soledad Unified,Monterey
Gabilan Hills (Hollister),Hollister,San Benito
Gabriela Mistral Elementary (Mountain View Whisman),Mountain View Whisman,Santa Clara
Gabrielino High (San Gabriel Unified),San Gabriel Unified,Los Angeles
Gabriella Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Gage Elementary (San Diego Unified),San Diego Unified,San Diego
Gahr (Richard) High (ABC Unified),ABC Unified,Los Angeles
Gale Ranch Middle (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
Galileo Academy 101 (Victor Elementary),Victor Elementary,San Bernardino
Galileo High (San Francisco Unified),San Francisco Unified,San Francisco
Gallatin Elementary (Downey Unified),Downey Unified,Los Angeles
Gallinas Elementary (San Rafael City Elementary),San Rafael City Elementary,Marin
Galt High (Galt Joint Union High),Galt Joint Union High,Sacramento
Ganesha High (Pomona Unified),Pomona Unified,Los Angeles
